paperID,source,genus,species,var,continent,deciduousness,distribution,Determinate_all_preformed,Intermediate_preformed_neogrown,Indeterminate_all_neogrown,sec_flush_y_no,multiple_flushes,remarks
borchert1975,https://doi.org/10.1111/j.1399-3054.1975.tb03885.x,Quercus,palustris,,north america,D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Hevea,brasiliensis,,south america,E,tropical,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Fraxinus,americana,,north america,D,temperate,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Populus,trichocarpa,,north america,D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Camellia,sinensis,,asia,E,tropical,,,,y,y,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Oreopanax,spp.,,south america,E,tropical,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Rhizophora,mangle,,north america,E,tropical,,,x,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Acer,platanoides,,north america,D,temperate,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Acer,pensylvanicum,,north america,D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Acer,rubrum,,north america,D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Aesculus,spp.,,"north america, eurasia",D,temperate,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Carya,spp.,,"north america, eurasia",D,temperate,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Fagus,spp.,,"north america, eurasia",D,temperate,x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Fraxinus,spp.,,"north america, eurasia",D,"temperate, subtropical",x,,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Betula,spp.,,"north america, eurasia",D,"temperate, boreal",,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Castanea,spp.,,"north america, eurasia",D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Cercidiphyllum,spp.,,asia,D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Ginkgo,biloba,,"north america, eurasia",D,temperate,,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Ilex,spp.,,"america, eurasia, africa","D, E","temperate, subtropical, tropical",,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Ligustrum,spp.,,"africa, eurasia, oceania","D, E",temperate/subtropical/tropical,,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Liriodendron,spp.,,"north america, asia",D,temperate,,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Morus,spp.,,"america, eurasia, africa",D,"temperate, subtropical, tropical",,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Populus,spp.,,"north america, eurasia, africa",D,"temperate, subtropical, tropical, boreal",,x,,y,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Prunus,spp.,,"america, eurasia, africa, oceania","D, E","temperate, subtropical, tropical",,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Salix,spp.,,"america, eurasia, africa",D,"temperate, subtropical, tropical, boreal",,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Sambucus,spp.,,"america, eurasia, africa, oceania",D,"temperate, subtropical, tropical",,x,,,,
Hallé1978,DOl: 10.1007/978-3-642-81190-6,Vitis,spp.,,"america, eurasia",D,"temperate, subtropical, tropical",,x,,,,
DeBell1994,Growth Patterns of Red Alder DEAN S. DEBELL & PETER A. GIORDANO,Alnus,rubra,,north america,D,temperate,,x,,,,
